S.No.,Device,Contact Count,English,,,Device,Contact Count,Coil Count,English
57,X38,15,OBLIQUE X-AXIS HOME PROXY,,,Y117,2,1,UNLOADER ROTATOR RELEASE SOL CMD
58,X39,2,PAUSE OBLIC CUTTING,,,Y118,1,1,CULLET DISP TO TRAY
59,X3A,2,OBLIQUE PRESSURE SWITCH,,,Y119,1,1,MAIN AIR ON/OFF
60,X3B,1,SPARE,,,Y11A,1,1,CULLET TANK TO LIFT SOL. COMMAND
61,X3C,6,PH. S/W AFTER PRE WASHING(CENT.),,,Y11B,1,1,CULLET TANK TO M/C SOL. COMMAND
62,X3D,4,CENTERING IN UP#1 POS.-REED S/W,,,Y11C,2,1,SHUTTLE#2 POS. OK FOR SHTL3
63,X3E,6,CENTERING IN DOWN#1 POS.REED S/W,,,Y11D,3,1,GRINDING OVER TO TO DRI- PLC
64,X3F,4,CENTERING IN UP#2 POS-REED S/W,,,Y11E,1,,OUT PUT FAULTY
65,X40,4,CENTERING IN DOWN#2 POS-REED S/W,,,Y11F,2,1,CUTTING TABLE SUCK CMD
66,X41,6,OBLIQUE BR-OFF DN REED S/W,,,Y120,3,1,SHTL#3 PAD UP/DN SV
67,X42,2,PAUSE KEY AT BACK OF OBLQ,,,Y121,2,1,SUCK SV SHTL#3 PAD
68,X43,7,SHUTTLE#1 AT PARKING-PROXY,,,Y122,2,1,RELEASE SV SHTL#3 PAD
69,X44,4,LOADER VACUUM SWITCH,,,Y123,1,1,SHTL#4 CARIG 1 CYL UP/DN SV
70,X45,5,SHUTTLE#1 VACUUM SWITCH,,,Y124,7,1,SHTL#4 CARIG 1 SUCK SV
71,X46,15,SHUTTLE#1 IN UP POS.-REED S/W,,,Y125,2,1,SHTL#4 CARIG 1 RELEASE SV
72,X47,13,SHUTTLE#1 IN UP POS.-PROXY S/W,,,Y126,4,1,SHTL#5 CARIG  CYL UP/DN SV
73,X48,18,SHUTTLE#1 IN DOWN POS.-REED S/W,,,Y127,9,1,SHTL#5 CARIG  SUCK SV
74,X49,15,SHUTTLE#1 IN REVESE POS.-PROXY,,,Y128,3,1,SHTL#5 CARIG  RELEASE SV
75,X4A,2,GLASS PRESENT AT SHUTTLE#1-PROXY,,,Y129,1,1,DRILG CENTRG 1ST CYL FWD/REV SV
76,X4B,4,CUTT. TABLE LOCK DOWN REED S/W#1,,,Y12A,1,,SHTL#3 JOG- (NO RUN CMND)
77,X4C,4,CUTT. TABLE LOCK DOWN REED S/W#2,,,Y12B,3,1,SHUTTLE#3 AUTO/MANUAL SIGNAL
78,X4D,8,CUTTER MICRO SWITCH#1,,,Y12C,1,,SHTL#3 JOG+/ POSITION RUN COMAND
79,X4E,3,CUTTER MICRO SWITCH#2,,,Y12D,1,1,SHTL#3 SERVO ON
80,X4F,3,CUTTER MICRO SWITCH#3,,,Y12E,1,1,DRILG CENTRG 2ND CYL FWD/REW SV
81,X50,3,CUTTER MICRO SWITCH#4,,,Y12F,1,1,
82,X51,2,DRILL LUB PUMP MPCB,,,Y130,3,1,LOADER ROTATOR FWD CMD.-INV#1
83,X52,17,CUTTING MACHINE CONFIRMATION#1,,,Y131,3,1,LOADER ROTATOR REV CMD.-INV#1
84,X53,17,CUTTING MACHINE CONFIRMATION#2,,,Y132,1,1,LOADER ROTATOR H.SPEED-INV#1
85,X54,2,KEROCENE LEVEL SWITCH,,,Y133,25,1,POWDERING C/V START-INV#2
86,X55,3,CUTTING LUBE SYSTEM LEVEL SWITCH,,,Y134,1,1,PODWERING C/V HIGH SPEED-INV#2
87,X56,3,CUTTING LUBE OIL PR. S/W,,,Y135,3,1,LOADER FORWARD COMMAND-INV.#3
88,X57,2,GLASS SENSOR PROXY AT SHUTTLE#2,,,Y136,3,1,LOADER REVERSE COMMAND-INV.#3
89,X58,3,SHUTTLE#2 VACUUM SWITCH,,,Y137,1,1,LOADER FWD/REV H.SPEED-INV#3
90,X59,13,SHUTTLE#2 IN UP POS.-REED S/W,,,Y138,1,1,SHUTTLE-3 TO WASHING MOVE SELECT
91,X5A,11,SHUTTLE#2 IN UP POS.-PROXY S/W,,,Y139,1,,SHUTTLE-3 GO TO GGM MOVE SELECT
92,X5B,16,SHUTTLE#2 IN DOWN POS.-REED S/W,,,Y13A,1,1,DRILLING UPPER CLAMP CYL ON/OFF
93,X5C,1,SPARE,,,Y13B,1,1,DRILING C-AXIS SUCK SV
94,X5D,11,SHUTTLE#2 AT PARKING POS.-PROXY,,,Y13C,1,1,DRILLING C-AXIS RELEASE SV
95,X5E,2,SHUTTLE#2 SAFE TO SHUTLE#3 LIMIT,,,Y13D,1,,DRILLING SPINDLE FWD
96,X5F,1,SPARE,,,Y13E,1,,DRILING SPNDLE SPEED INC
97,X60,4,VACCUM SW. SHTL#3,,,Y13F,1,,DUMMY HOME DOG FOR C-AXIS
98,X61,10,SHUTTLE-3 CHUK UP RED SW.,,,Y140,1,1,MAIN CONTACTOR ON-C01 COIL
99,X62,13,SHUTTLE -3 UP PROXY,,,Y141,2,1,BRUSH ROLLER CONTACTOR (C-1)
100,X63,8,SHTL#3 PAD DN REED SW,,,Y142,1,,CUTTING CONVEYOR CONTACTOR(C-2)
101,X64,5,CUTTING TABLE UP POS. REED S/W#1,,,Y143,3,1,LOADER ROTATOR CONTACTOR-C3
102,X65,4,CUTTING TABLE UP POS. REED S/W#2,,,Y144,2,1,LOADER ROT BRAKE CONTACTOR-C4
103,X66,4,CUTTING TABLE UP POS. REED S/W#3,,,Y145,2,1,POWDER REM C/V CONTACTOR-C5
104,X67,7,CUTTING TABLE UP POS. REED S/W#4,,,Y146,1,1,POWDER REM C/V BRAKE CONTACT-C6
105,X68,16,SHUTTLE-3 AT GGM POS PROXY,,,Y147,1,1,LOADER FWD/REV CONTACOR-C7
106,X69,1,SHUTTLE-3 AT CENTERING PROXY,,,Y148,1,1,LOADER FWD/REV BRAKE CONTACOR-C8
107,X6A,9,CULLET TANK TO MACHINE-LIMIT,,,Y149,1,1,SHUTTLE-3 INV. CONTCTOR-C9
108,X6B,5,CULLET TANK TO LIFT-LIMIT,,,Y14A,11,1,TURN TABLE CONTACTOR-C10
109,X6C,11,LIFT IN DOWN LIMIT SW,,,Y14B,1,,DRILLING COOLENT PUMP ON CMD
110,X6D,7,LIFT IN UP LIMIT SWITCH,,,Y14C,1,1,STEPPER DRIVE CONTACTOR-C20
111,X6E,3,PUSH FOR BOX CHANGE,,,Y14D,3,1,CUTTING LUBRICATION PUMP(C12)
112,X6F,6,CULLET TRAY TO TANK POS.LIMIT,,,Y14E,1,1,HYDRAULIC LIFT PUMP CONT. - C13
113,X70,2,GRINDING WATER FLOW SWITCH,,,Y14F,1,1,PANEL AC-1 CONTACTOR-C18
114,X71,18,GRINDING AT LOADING-PROXY,,,Y150,1,1,PANEL AC-2 CONTACTOR-C19
115,X72,3,VACUUM SWITCH OUT#2 FOR GRINDING,,,Y151,3,1,CUTTING TABLE BLOWER-C14
116,X73,2,B-AXIS SAFETY FROM SHUTLE#2,,,Y152,1,1,CUTING LUBRICATON PUMP
117,X74,4,SHUTTLE-3 MID&HOME PROXY,,,Y153,1,1,DRILL LUB PUMP CONTACTOR
118,X75,1,SHUTTLE-3 REV OVER RUN,,,Y154,4,1,GGM LUB PUMP ON
119,X76,1,SHUTTLE-3 FWD OVER RUN,,,Y155,1,1,HOOTER
120,X77,3,SHUTTLE-4 LIMIT SWIRCH,,,Y156,1,1,REVOLVING LIGHT
121,X78,1,SHUTTLE#1 READY FROM PMAC,,,Y157,10,1,CUTING C/ V CONTATAR
122,X79,1,SHUTTLE#1 FAULT FROM PMAC,,,Y158,4,1,LIFT UP SV
123,X7A,1,SHUTTLE#1 BUSY FROM PMAC,,,Y159,3,1,LIFT DN SV
124,X7B,1,SHUTTLE#1 ON LIMIT FROM PMAC,,,Y15A,1,,
125,X7C,1,SHUTTLE#1 AT Ist GLASS FROM PMAC,,,Y15B,1,,
126,X7D,1,SHUTTLE#1 AT PARKING FROM PMAC,,,Y15C,1,1,
127,X7E,1,SHUTTLE#1 AT CUTTING FROM PMAC,,,Y15D,1,1,
128,X7F,1,SHUTTLE#2 READY FROM PMAC,,,Y15E,1,1,GGM COOLANT ON
129,X80,1,SHUTTLE#2 FAULT FROM PMAC,,,Y15F,2,1,GGM SPINDLE ON
130,X81,1,SHUTTLE#2 BUSY FROM PMAC,,,Y160,1,1,SHUTTLE #2 CHUCK DOWN S/V
131,X82,1,SHUTTLE#2 ON FWD LIMIT FROM PMAC,,,Y161,1,1,SHTL#3 RLS AT D.CENT->DRILL
132,X83,1,SHUTTLE#2 AT CUTTING FROM PMAC,,,Y162,1,1,SHUTTLE#4 CHUCK#1 SUCK->DRILL
133,X84,1,SHUTTLE#2 AT PARKING FROM PMAC,,,Y163,1,1,AUTO START ANDON LIGHT
134,X85,1,SHUTTLE#2 AT GRINDING FROM PMAC,,,Y164,1,1,SHTL#4 CHUCK#1 RLS-> DRILL
135,X86,1,SHUTTLE#1 IIND GLASS FROM PMAC,,,Y165,1,1,SHTL#4 CHUCK#2 SUCK-> DRILL
136,X87,1,SHUTTLE#4 READY FROM PMAC,,,Y166,1,1,Z2-AXIS BRAKE ON
137,X88,4,OBLIQUE CUTTING X-AXIS FAULT,,,Y167,1,1,STOP ANDON LIGHT
138,X89,4,OBLIQUE X-AXIS ON LIMITS,,,Y168,1,,DRILLING Z2 SERVO ON SIGNAL
139,X8A,4,OBLIQUE CUTTING Y-AXIS FAULT,,,Y169,1,,DRILLING Z2 RESET SIGNAm100
140,X8B,4,OBLIQUE Y-AXIS ON LIMIT,,,Y16A,1,1,MANUAL ANDON LIGHT
141,X8C,14,OBLIQUE  AT LOADING POINT-PMAC,,,Y16B,1,,DRILLING U-AXIS SERVO ON SIGNAL
142,X8D,3,OBLIQUE CUTTING AT CENT. POS.,,,Y16C,1,,DRILLING U-AXIS SERVO RESET
143,X8E,3,OBLIQUE CUTTER DN SOL TO PLC,,,Y16D,1,1,PAUSE ANDON LIGHT
144,X8F,1,SHUTTLE#4 FAULT FROM PMAC,,,Y16E,1,1,ALARM ANDON LIGHT
145,X90,1,SHUTTLE#4 BUSY FROM PMAC,,,Y16F,3,1,SPINDLE LOCK
146,X91,32,CUTTING MACHINE AT LOADING-PMAC,,,Y170,1,,SHUTTLE#1 HOME COMMAND-PMAC
147,X92,13,HANDLING PLC ON FROM VB,,,Y171,1,,SHUTTLE#1 STOP COMMAND-PMAC
148,X93,1,SHUTTLE#4 ON LIMIT FROM PMAC,,,Y172,1,,SHUTTLE#1 JOG FWD COMMAND-PMAC
149,X94,1,SHUTTLE#4 AT CENTERING-PMAC,,,Y173,1,,SHUTTLE#1 JOG REV COMMAND-PMAC
150,X95,2,CUTTING X_LEFT AXIS FAULT-PMAC,,,Y174,1,,SHUTTLE#1 GOTO IST GLASS -PMAC
151,X96,2,CUTTING X_LEFT AXIS ON LIMIT-PMA,,,Y175,1,,SHUTTLE#1 GOTO PARKING -PMAC
152,X97,2,CUTTING X_RIGHT AXIS FAULT-PMAC,,,Y176,1,,SHUTTLE#1 GOTO CUTTING  -PMAC
153,X98,2,CUTTING X_RIGHT AXIS ON LIMIT-PM,,,Y177,1,,SHUTTLE#2 HOME COMMAND-PMAC
154,X99,2,CUTTING Y AXIS FAULT-PMAC,,,Y178,1,,SHUTTLE#2 STOP COMMAND-PMAC
155,X9A,3,CUTTING Y AXIS ON LIMIT-PMAC,,,Y179,1,,SHUTTLE#2 JOG FWD COMMAND-PMAC
156,X9B,2,CUTTING Z AXIS FAULT-PMAC,,,Y17A,1,,SHUTTLE#2 JOG REV COMMAND-PMAC
157,X9C,2,CUTTING Z AXIS ON LIMIT-PM,,,Y17B,1,,SHUTTLE#2 GOTO CUTTING -PMAC
158,X9D,1,SPARE,,,Y17C,1,,SHUTTLE#2 GOTO PARKING -PMAC
159,X9E,2,CUTTING A_LEFT AXIS FAULT-PMAC,,,Y17D,1,,SHUTTLE#2 GOTO GRINDING -PMAC
160,X9F,2,CUTTING A_LEFT AXIS ON LIMIT-PMA,,,Y17E,1,,SHUTTLE#1 GOTO IInD GLASS -PMAC
161,X0A0,2,CUTTING A_RIGHT AXIS FAULT-PMAC,,,Y17F,1,1,SHUTTLE#4  TO CENTERING PMAC-1
162,X0A1,2,CUTTING A_RIGHT AXIS ON LIMIT-PM,,,Y180,1,1,OBLIQUE MACHINE RESET TO PMAC
163,X0A2,2,CUTTING U AXIS FAULT-PMAC,,,Y181,4,1,OBLIQUE MACHINE START TO PMAC
164,X0A3,2,CUTTING U AXIS ON LIMIT-PMAC,,,Y182,1,1,OBLIQUE MACHINE STOP TO PMAC
165,X0A4,2,CUTTING V AXIS FAULT-PMAC,,,Y183,3,1,OBLIQUE CENTERING OVER TO PMAC
166,X0A5,2,CUTTING V AXIS ON LIMIT-PMAC,,,Y184,1,,SHUTTLE#4 TO DRILLING PMAC-1
